popularity,vote_count_x,vote_average_x,release_date,original_language_x,genre_ids,belongs_to_collection,budget,production_companies,production_countries,revenue,day_of_week,month,quarter,en_int_lang,collection
11.218,554.0,6.5,2018-12-21,en,Fantasy|Drama|Comedy|,na,39000000.0,DreamWorks Pictures,US,12780692.0,4,12,4,en,Collection
6.396,111.0,4.7,2018-11-23,es,Comedy|,na,52.0,Zeta Cinema,ES,12496155.0,4,11,4,int,Collection
12.462,694.0,5.9,2018-06-07,en,Action|Thriller|Science Fiction|,na,15000000.0,The Ink Factory,GB,12371132.0,3,6,2,en,Collection
12.329,2014.0,7.2,2018-07-09,en,Comedy|Romance|,Mamma Mia! Collection,75000000.0,Legendary Entertainment,GB,12063493.0,0,7,3,en,Collection
2.681,1.0,6.0,2018-07-21,zh,Animation|Romance|,na,0.0,Beijing Enlight Pictures,CN,12061164.0,5,7,3,int,Collection
7.952000000000001,9.0,4.8,2018-12-07,fr,Adventure|Animation|Comedy|Family|,Snowtime! Collection,3000000.0,CarpeDiem Film & TV,CA,12000000.0,4,12,4,int,Collection
16.171,1736.0,7.3,2018-06-01,en,Horror|Action|Thriller|Science Fiction|,na,5000000.0,Goalpost Pictures,AU,11871365.0,4,6,2,en,Collection
10.174,904.0,4.0,2018-08-10,en,Horror|Thriller|Mystery|,na,10000000.0,Madhouse Entertainment,US,11817275.0,4,8,3,en,Collection
2.542,15.0,7.7,2018-05-09,te,Drama|,na,4346100.0,Swapna Cinema,IN,11589600.0,2,5,2,int,Collection
9.231,732.0,6.3,2018-09-27,en,Drama|Comedy|Crime|,na,0.0,Condé Nast Entertainment,US,11277120.0,3,9,3,en,Collection
8.975,256.0,6.1,2018-03-15,en,Drama|History|,na,0.0,See-Saw Films,US,10940439.0,3,3,1,en,Collection
3.3960000000000004,19.0,3.1,2018-02-28,en,Horror|Action|Thriller|Crime|Science Fiction|,na,0.0,Capital Alliance Productions,US,10615000.0,2,2,1,en,Collection
6.485,155.0,7.0,2018-08-09,es,Drama|Crime|,na,3000000.0,El Deseo,AR,10452324.0,3,8,3,int,Collection
7.894,143.0,7.2,2018-04-13,en,Drama|,na,0.0,LD Entertainment,US,10230620.0,4,4,2,en,Collection
8.883,406.0,6.1,2018-08-29,en,Action|Science Fiction|,na,30000000.0,21 Laps Entertainment,US,10023153.0,2,8,3,en,Collection
11.706,582.0,6.1,2018-07-19,en,Horror|,Unfriended Collection,1000000.0,Universal Pictures,US,9602624.0,3,7,3,en,Collection
2.112,9.0,5.9,2018-09-21,hi,Drama|Comedy|,na,7100000.0,Krti Pictures,IN,9600000.0,4,9,3,int,Collection
11.119000000000002,228.0,5.8,2018-03-15,en,Drama|Thriller|Crime|,na,0.0,Participant Media,GB,9196740.0,3,3,1,en,Collection
2.9939999999999998,21.0,7.4,2018-08-09,de,Comedy|Crime|,na,0.0,Constantin Film,DE,8900000.0,3,8,3,int,Collection
13.077,684.0,6.9,2018-10-19,en,Drama|Comedy|Crime|,na,0.0,Archer Gray,US,8586944.0,4,10,4,en,Collection
5.143,205.0,5.8,2018-01-18,it,Comedy|,na,8166084.0,Walt Disney Studios Motion Pictures,na,8475827.0,3,1,1,int,Collection
5.164,396.0,6.3,2018-02-14,it,Comedy|,na,0.0,Lotus Productions,IT,8198518.0,2,2,1,int,Collection
13.138,596.0,5.9,2018-10-25,en,Thriller|Science Fiction|,na,30000000.0,Di Bonaventura Pictures,US,8100000.0,3,10,4,en,Collection
16.745,672.0,7.1,2018-09-24,en,Drama|,na,0.0,Anonymous Content,US,7928149.0,0,9,3,en,Collection
11.164000000000001,853.0,7.6,2018-10-12,en,Drama|,na,25000000.0,Plan B Entertainment,US,7649973.0,4,10,4,en,Collection
0.865,0.0,0.0,2018-03-29,zh,Comedy|Romance|,na,0.0,Huanxi Media Group,CN,7455677.0,3,3,1,int,Collection
4.534,35.0,6.8,2018-04-05,ru,Adventure|Drama|Mystery|,Gogol Collection,0.0,Sreda,RU,7403878.0,3,4,2,int,Collection
11.030999999999999,254.0,6.2,2018-04-11,en,Drama|Action|Thriller|,na,0.0,Radar Pictures,US,7258534.0,2,4,2,en,Collection
8.658,532.0,7.3,2018-10-19,en,Drama|Comedy|,na,258157.0,Waypoint Entertainment,US,6897446.0,4,10,4,en,Collection
14.093,546.0,7.5,2018-05-17,ko,Drama|Thriller|Mystery|,na,7080000.0,Pinehouse Film,KR,6591038.0,3,5,2,int,Collection
13.085,1119.0,6.9,2018-10-11,en,Fantasy|Horror|,na,20000000.0,Muskat Filmed Properties,US,6348889.0,3,10,4,en,Collection
11.878,1279.0,7.0,2018-02-22,en,Fantasy|Drama|Romance|,na,4900000.0,FilmWave,US,6102076.0,3,2,1,en,Collection
